user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
U1000,37,2,227.94,2,2,2,At Risk
U1001,31,1,13.59,2,1,1,Lost
U1002,5,4,1093.56,5,5,5,Champions
U1003,29,3,388.3,2,4,2,At Risk
U1005,16,2,826.63,3,2,5,Loyal
U1006,24,1,410.05,3,1,3,At Risk
U1007,55,1,369.03,1,1,2,Lost
U1009,11,3,536.22,4,4,4,Champions
U1010,5,5,1123.28,5,5,5,Champions
U1011,27,3,965.1800000000001,2,4,5,Loyal
U1012,3,2,757.4100000000001,5,2,4,Loyal
U1013,48,1,13.79,1,1,1,Lost
U1014,17,2,795.74,3,2,5,Loyal
U1015,22,1,451.97,3,1,3,At Risk
U1016,43,1,358.81,1,1,2,Lost
U1018,12,1,401.61,4,1,3,At Risk
U1020,42,3,1199.6100000000001,1,4,5,Loyal
U1021,2,2,280.8,5,2,2,Loyal
U1022,37,1,301.98,2,1,2,Lost
U1023,38,2,445.14,2,2,3,At Risk
U1024,28,1,212.24,2,1,1,Lost
U1025,10,4,685.1,4,5,4,Champions
U1026,39,1,467.2,1,1,3,Lost
U1028,13,3,1228.21,4,4,5,Champions
U1029,29,2,522.6,2,2,3,At Risk
U1030,16,4,820.05,3,5,5,Champions
U1031,9,1,258.74,4,1,2,At Risk
U1032,15,1,422.84,4,1,3,At Risk
U1033,8,3,898.7,4,4,5,Champions
U1034,25,1,334.64,3,1,2,At Risk
U1036,21,1,109.94,3,1,1,Lost
U1037,9,3,292.06,4,4,2,Loyal
U1038,13,2,854.26,4,2,5,Loyal
U1039,19,2,614.85,3,2,4,Loyal
U1040,17,1,406.3,3,1,3,At Risk
U1041,8,4,998.99,4,5,5,Champions
U1042,46,1,426.23,1,1,3,Lost
U1043,15,2,494.76,4,2,3,Loyal
U1044,50,1,130.36,1,1,1,Lost
U1045,15,1,254.99,4,1,2,At Risk
U1046,19,2,592.22,3,2,4,Loyal
U1047,55,1,457.63,1,1,3,Lost
U1049,19,3,757.99,3,4,4,Loyal
U1050,31,2,826.45,2,2,5,Loyal
U1051,28,2,618.8299999999999,2,2,4,At Risk
U1052,22,2,679.47,3,2,4,Loyal
U1053,2,4,1248.6,5,5,5,Champions
U1054,10,3,725.73,4,4,4,Champions
U1055,24,2,723.5,3,2,4,Loyal
U1056,59,1,247.81,1,1,2,Lost
U1058,22,1,227.19,3,1,2,At Risk
U1059,38,1,356.33,2,1,2,Lost
U1060,19,1,204.6,3,1,1,Lost
U1061,11,2,320.84000000000003,4,2,2,At Risk
U1062,33,1,58.05,2,1,1,Lost
U1063,32,2,157.98,2,2,1,Lost
U1064,30,1,88.7,2,1,1,Lost
U1065,45,2,941.36,1,2,5,At Risk
U1067,30,2,281.15000000000003,2,2,2,At Risk
U1068,13,2,827.3299999999999,4,2,5,Loyal
U1071,9,4,919.19,4,5,5,Champions
U1072,10,2,619.89,4,2,4,Loyal
U1073,4,3,980.0699999999999,5,4,5,Champions
U1074,8,1,294.42,4,1,2,At Risk
U1075,37,2,481.77,2,2,3,At Risk
U1076,44,1,491.86,1,1,3,Lost
U1077,1,3,630.67,5,4,4,Champions
U1079,9,1,410.44,4,1,3,At Risk
U1082,4,2,587.5,5,2,4,Loyal
U1083,2,1,124.05,5,1,1,At Risk
U1084,35,1,92.47,2,1,1,Lost
U1085,15,1,228.25,4,1,2,At Risk
